Name;Gauss-Krueger E;Gauss-Krueger N
Hörsten, Grüner Damm;3570421;5920514
Hörsten, Schule;3570912;5920543
Horster Damm;3584528;5926340
Horster Moor;3585545;5925260
Hove, Estebrücke;3548533;5932174
Hove, Groß Hove (Wendeplatz);3550040;5933558
Hove, Groß Hove 102;3549487;5933498
Hove, Groß Hove 156;3551030;5933178
Hove, Groß Hove 174;3551396;5932914
Hove, Groß Hove 27;3549126;5933019
Hove, Groß Hove 62;3548896;5932857
Hove, Groß Hove 69;3550401;5933500
Hove, Neuenfelder Straße;3549225;5932890
Hövelbrook;3567909;5931127
Hovestieg;3567813;5933070
Hovestraße (Kehre);3569706;5932167
Hovestraße 44;3568411;5932847
Hovestraße 49;3568992;5932543
Hovestraße 68;3569426;5932314
Howe;3576416;5921545
Howe (Ost);3576695;5920595
Hower Brack;3576575;5921368
Hower Hauptdeich;3576448;5921121
Hübbesweg;3570410;5936421
Hude 10;3511707;5935238
Hude 5a;3512412;5935710
Hudtwalckerstraße;3566024;5940833
Huje, Bäckerstraße;3528641;5982998
Huje, Galgenberg;3528257;5982846
Hüll, Abzweig Draakenstieg;3518349;5953619
Hüll, Abzweig Sietwende (AST-Halt);3520533;5954867
Hüll, Abzweigung Niederhüll;3518431;5953039
Hüll, Altendorfer Grenzweg;3517172;5953167
Hüll, Draakenstieg Nr. 15 (AST-Halt);3519109;5953847
Hüll, Gehrden 18;3518334;5953450
Hüll, Glindweg;3517695;5951428
Hüll, Grüne Straße 9;3519574;5954467
Hüll, Hüller Sietwende;3520513;5954897
Hüll, Hüller Sietwende Nr 10 (AST-Halt);3520773;5954417
Hüll, Kreuzung Oberhüll;3518916;5952366
Hüll, Niederhüll 1;3517301;5951889
Hüll, Niederhüll 15;3518395;5951877
Hüll, Wendeplatz;3518450;5953050
Hüllenkamp;3576550;5940205
Hültkoppel;3575484;5947463
Hummelsbüttler Hauptstraße;3568659;5946011
Hunden, Ortsmitte;3586226;5916322
Hunden, Schule Binnenmarsch;3586151;5916056
Hunden (West);3585896;5916691
Hüttblek, Abzweigung;3571607;5967322
Hüttblek, Hökerbarg;3570738;5968204
Huusbarg (Mitte);3577880;5946445
Huusbarg (West);3577550;5946521
Ida-Boy-Ed-Straße;3581764;5928738
Ida-Ehre-Allee;3569860;5944234
Iddensen, Bundesstraße;3560588;5918106
Iddensen, Hintelner Weg;3560409;5917555
Iddensen, Iddensener Dorfstraße;3560736;5918003
Iddensen, Vor dem Holze;3561124;5917867
IKEA Moorfleet;3572791;5931660
IKEA Schnelsen;3561375;5946654
Iland;3574103;5948727
Ilsenweg;3573280;5948065
Im Allhorn;3577732;5947599
Im Alten Nincop;3551425;5932418
Im Fischbeker Heidbrook (Ost);3554130;5926555
Im Fischbeker Heidbrook (West);3553875;5926441
Im Grünen Grunde;3568322;5944017
Im Schönenfelde;3567631;5930341
Im Vogelkamp;3556552;5927745
Immenbeck, Ardestorfer Weg;3548515;5923955
Immenbeck, Birkenhain;3549236;5924835
Immenbeck, Inne Beek (Ost);3549216;5924796
Immenbeck, Inne Beek (West);3548835;5924563
Immenbeck, Inne Beek 4;3549194;5924783
Immenbeck, Inne Beek 5;3548856;5924579
Immenbeck, Inne Beek 62;3548433;5924054
Immenbeck, Inne Beek 73;3548439;5924068
Immenbusch;3556590;5939504
Immenhöven;3567610;5948214
Immenseeweg;3577857;5940972
In der Hörn;3579404;5927625
In der Ohe-Nord;3580144;5921537
Indiastraße;3566024;5933268
Industriestraße;3565218;5932169
Informatikum;3561763;5941102
Inselpark;3566847;5929949
Inselstraße;3565808;5942171
Inzmühlen, Grotekamp;3557802;5901089
Inzmühlen, Voßwinkel;3557350;5901054
Iserbrook;3554017;5938650
Isfeldstraße;3555518;5938363
Isoldeweg;3549307;5939699
Israelitisches Krankenhaus;3565572;5942028
Issendorf, Dorfgemeinschafthaus;3534625;5928585
Issendorf, Lerchenkampweg;3534227;5928627
Issendorf, Schmiedestraße;3534346;5928241
Issendorf, Stader Weg;3532764;5929190
Itzehoe;3533619;5977077
Itzehoe, Adler;3533377;5977930
Itzehoe, Ahornweg;3535870;5978074
Itzehoe, Albert-Schweitzer-Ring (Nord);3533569;5979951
Itzehoe, Alsen;3533834;5975899
Itzehoe, Am Kählerhof;3531948;5975413
Itzehoe, Amselweg;3534637;5978951
Itzehoe, An der Bahn;3533275;5980169
Itzehoe, Ansgarstraße;3532520;5978586
Itzehoe, Auguste-Viktoria-Schule;3534482;5976773
Itzehoe, Bachstraße (Ost);3535534;5977118
Itzehoe, Bachstraße (West);3535349;5977022
Itzehoe, Bargkoppel;3535451;5977521
Itzehoe, Bergstraße;3534387;5976843
Itzehoe, Berufsbildungszentrum RBZ;3534053;5977963
Itzehoe, Bocksberg;3535785;5977571
Itzehoe, Brunnenstieg;3534885;5977825
Itzehoe, Brunnenstraße (Holstein-Center);3534171;5977429
Itzehoe, Buchenweg;3535425;5977926
Itzehoe, Buschweg;3532205;5979509
Itzehoe, Carl-Zeiss-Straße;3533477;5976913
Itzehoe, Christian-Lohse-Straße (Ost);3532762;5975340
Itzehoe, Christian-Lohse-Straße (West);3532334;5975430
Itzehoe, Coriansberg;3534434;5977125
Itzehoe, Dietrich-Bonhoeffer-Straße;3532863;5978023
Itzehoe, Dithmarscher Platz;3533737;5977493
Itzehoe, Dürrstraße;3534615;5977641
Itzehoe, Dwerweg;3532477;5980557
Itzehoe, Ehlersweg;3532532;5979612
Itzehoe, Elbeblick;3535201;5978034
Itzehoe, Emil-von-Behring-Straße;3533492;5979780
Itzehoe, Emmy-Noether-Straße;3532502;5980898
Itzehoe, Ernst-Moritz-Arndt-Schule;3534187;5979011
Itzehoe, Friedhof Brunnenstraße;3534077;5977736
Itzehoe, Friedrich-Ebert-Straße;3534837;5977892
Itzehoe, Goldbergweg;3533233;5979951
Itzehoe, Gorch-Fock-Straße;3533659;5977953
Itzehoe, Graf-Egbert-Ring (Nord);3532543;5979020
Itzehoe, Graf-Egbert-Ring (Süd);3532630;5978209
Itzehoe, Graf-Rantzau-Straße;3532897;5974999
Itzehoe, Grundschule Edendorf;3532809;5980254
Itzehoe, Grundschule Wellenkamp;3532020;5975234
Itzehoe, Gutenbergstraße;3534784;5977102
Itzehoe, Heinrich-Wessel-Straße;3531719;5975212
Itzehoe, Hinter dem Kurhaus;3536190;5977561
Itzehoe, Hohe Straße;3534368;5976922
Itzehoe, Holtweg;3532644;5979342
Itzehoe, Holzkamp;3534378;5977075
Itzehoe, Innovationszentrum;3532011;5980794
Itzehoe, Johann-Holm-Straße;3533058;5978425
Itzehoe, Kamper Weg (Ost);3533023;5975542
Itzehoe, Karnberg;3533396;5980182
Itzehoe, Karolingerstraße;3532532;5978838
Itzehoe, Kastanienallee;3535424;5978064
Itzehoe, Käthe-Kollwitz-Straße (Nord);3532186;5979889
Itzehoe, Kirchweg (Nord);3532537;5980070
Itzehoe, Klinikum;3532966;5979195
Itzehoe, Königsberger Allee;3533802;5979405
Itzehoe, Kösliner Straße;3533280;5978812
Itzehoe, Kremper Weg (Süd);3532673;5974757
Itzehoe, Kremper Weg/Bahnübergang;3533186;5975484
Itzehoe, Krichauffstraße;3531707;5974949
Itzehoe, Langer-Peter/Friedhof;3534067;5977823
Itzehoe, Lehmwohld-Schule;3533462;5978504
Itzehoe, Lehmwohldstraße;3533359;5978106
Itzehoe, Liethberg;3533108;5977575
Itzehoe, Lindenstraße (Mitte);3532819;5978065
Itzehoe, Lise-Meitner-Straße;3532386;5980609
Itzehoe, Lornsenplatz;3533810;5977757
Itzehoe, Margarete-Steiff-Weg;3532343;5980192
Itzehoe, Maria-Bornheim-Weg (Klinikum);3532851;5978988
Itzehoe, Marie-Curie-Ring;3532630;5981071
Itzehoe, Masurenweg;3533634;5979350
Itzehoe, Mozartstraße;3534221;5978044
Itzehoe, Mühlenweg;3531503;5974974
Itzehoe, Ochsenmarktskamp;3534642;5977522
Itzehoe, Oldendorfer Weg;3532529;5979345
Itzehoe, Ostlandplatz;3533903;5978894
Itzehoe, Ottensstraße;3532240;5975062
Itzehoe, Papenkamp;3532059;5978108
Itzehoe, Poelstraße;3533495;5977800
Itzehoe, Portland-Cement-Straße;3533808;5975884
Itzehoe, Potthoffstraße;3533396;5977369
Itzehoe, Rathaus;3533991;5976599
Itzehoe, Robert-Koch-Straße;3533299;5979613
Itzehoe, Sanddeich;3532221;5975649
Itzehoe, Schauenburgerstraße;3532816;5978648
Itzehoe, Schenefelder Chaussee;3532479;5980034
Itzehoe, Schubertstraße;3534376;5978007
Itzehoe, Schulenburg;3533352;5975442
Itzehoe, Schwimmzentrum;3533967;5978668
Itzehoe, Sieversbek;3532353;5979397
Itzehoe, Stadion;3535431;5977970
Itzehoe, Stadtbibliothek;3534238;5977234
Itzehoe, Stettiner Straße;3533418;5979047
Itzehoe, Störfischerstraße;3532503;5977832
Itzehoe, Straßenmeisterei;3536381;5978749
Itzehoe, Trotzenburg;3535924;5977799
Itzehoe, Viertkoppel;3533859;5979288
Itzehoe, Vossbarg;3532165;5977945
Itzehoe, Waldfriedhof;3535453;5978346
Itzehoe, Wasserwerk;3533713;5979791
Itzehoe, Wiesengrund;3532521;5975157
Itzehoe, ZOB;3533925;5977018
Itzehoe, Zusestraße;3531627;5980341
Itzenbüttel;3562370;5910484
Itzstedt, Lindenbergredder;3576541;5964887
Itzstedt, Ole Koppel;3576245;5965054
Itzstedt, Steindamm;3576284;5964606
Itzstedt, Sülfelder Weg;3576762;5964678
Iversstraße;3572503;5939479
Jaarsmoor;3559053;5942278
Jägerhof;3559068;5926919
Jägerlauf;3564132;5941734
Jahnring (Mitte);3567179;5941416
Jakobikirchhof;3566399;5935865
Jarrestraße (Kampnagel);3567654;5939655
Jasminweg;3558333;5942957
Jean-Dolidier-Weg;3582046;5923637
Jeanette-Wolff-Ring;3577971;5928009
Jenfelder Allee;3574722;5938774
Jenfelder Au;3574768;5939313
Jenfelder Straße;3575265;5938666
Jenfeld-Zentrum;3575318;5938319
Jersbek, Barockgarten;3580524;5957519
Jersbek, Hartwigsahler Weg;3579537;5958442
Jersbek, Langereihe 58;3579015;5956912
Jersbek, Langereihe 7;3579691;5957178
Jersbek, Soltenbek;3580067;5957759
Jersbek, Sportplatz;3580173;5957847
Jesteburg, Abzweigung Itzenbüttel;3563679;5908792
Jesteburg, Am Ilksberg;3564242;5909243
Jesteburg, Erikaweg;3563176;5909550
Jesteburg, Feuerwehr;3563891;5908171
Jesteburg, Freibad;3564090;5908121
Jesteburg, Hundsberg;3564650;5910170
Jesteburg, Kornberg;3564522;5909725
Jesteburg, Kunststätte Bossard;3562424;5906093
Jesteburg, Lohhof;3564850;5910532
Jesteburg, Lüllauer Straße;3563283;5908637
Jesteburg, Sandbarg;3563601;5908902
Jesteburg, Seevebrücke;3563646;5908505
Jesteburg, Seevestraße;3563968;5909068
Jesteburg, Zur Alten Schleuse;3564120;5909142
Jevenstedter Straße;3557930;5941365
Jeverländer Weg;3558478;5933295
Joachim-Mähl-Straße;3562901;5944650
Jochim-Sahling-Weg;3556445;5938665
Johannes-Brahms-Platz;3564935;5936394
Johanneskirche Rissen;3550566;5939062
Johannssenstegel;3575839;5921966
Johnsallee;3565581;5937667
Jork, Am Fleet;3545151;5933472
Jork, Auf dem Kamp;3545505;5933585
Jork, Gehrden;3543712;5934698
Jork, Höhen 6;3541982;5937301
Jork, Kohlenhusen (Wendeplatz);3547866;5934351
Jork, Ladekop;3544536;5931989
Jork, Lühe 10;3542877;5937542
Jork, Lühe 25;3542499;5937680
Jork, Lühe 59;3542344;5937350
Jork, Marktplatz;3545171;5933703
Jork, Osterjork 125;3546716;5933078
Jork, Osterjork 77;3546039;5933382
Jork, Schulstraße;3545366;5933922
Jork, Schulzentrum;3545051;5933911
Jork, Weidenstraße;3546581;5932948
Jork, Westerjork 70;3544317;5934025
Jork, Westerminnerweg (Schule);3545085;5933510
Jork, Westfeld;3544940;5932976
Jork, Yachthafenstraße;3543591;5934295
Josephstraße;3571590;5938470
Juliusburg;3600234;5921755
Julius-Reincke-Stieg (Bethanien);3565155;5940510
Julius-Vosseler-Straße;3562770;5940315
Jungestraße;3568142;5936571
Jungfernstieg;3566009;5936157
Jürgensallee;3556306;5936084
Jürgenstorf, Jürgenstorfer Straße;3606514;5911339
Justus-Brinckmann-Straße;3581865;5928461
Jütländer Allee;3561725;5941516
Kaaks, Alte Schmiede;3530559;5984590
Kaaks, Eversdorf;3532515;5984192
Kaaks, Kaaksburg (Mitte);3532137;5985747
Kaaks, Neuer Kamp;3531507;5984155
Kaaks, Osterkamp;3531029;5984487
Kaarßen, Anlage;3636556;5898341
Kaarßen, Ausbau;3637519;5899710
Kaarßen, Dorf;3636579;5897748
Kaarßen, Kindergarten;3636752;5897836
Kaarßen, Neubau;3637278;5897286
Kaden;3562478;5961838
Kahlkamp;3553317;5936825
Kählstorf;3609307;5958630
Kaisborstel, Forstweg;3531623;5987038
Kaisborstel, Lahann;3531625;5987188
Kaiser-Friedrich-Ufer;3563988;5938389
Kaken, Zum Schützenhof;3516560;5938096
Kakenstorf, Bachstraße;3551087;5908628
Kakenstorf, Bundesstraße;3551051;5909093
Kakenstorf, Denkmal;3551629;5909138
Kakenstorf, Kinderheim;3550388;5908441
Kakenstorf, Lange Straße;3550539;5908499
Kakenstorf, Rudolf-Steiner-Schule;3550437;5908443
Kakerbeck, Alte Dorfstraße;3528550;5921667
Kakerbeck, Auebrücke;3528116;5921997
Kakerbeck, Im Drauen;3529040;5921076
Kakerbeck, Kakerbecker Mühle;3528147;5922737
Kälbersteert;3579446;5924032
Kalckreuthweg (Mitte);3558865;5937445
Kaltehofe-Hinterdeich;3569440;5933328
Kaltenkirchen;3563681;5967495
Kaltenkirchen, Am Flottmoorpark;3563370;5966881
Kaltenkirchen, Am Hohenmoor;3562462;5966981
Kaltenkirchen, Am Kretelmoor;3562911;5967012
Kaltenkirchen, Am Schaafredder;3562262;5967334
Kaltenkirchen, An der Krückau;3563156;5966669
Kaltenkirchen, An der Moorkoppel;3562749;5968437
Kaltenkirchen, Anne-Frank-Weg;3563098;5968472
Kaltenkirchen, Bahnhof Süd;3564132;5966306
Kaltenkirchen, Bahnhofstraße 6;3563648;5967692
Kaltenkirchen, Borsigstraße;3564277;5966201
Kaltenkirchen, Brookring;3561981;5966067
Kaltenkirchen, Brookweg;3562257;5966421
Kaltenkirchen, Carl-Benz-Straße;3563929;5966685
Kaltenkirchen, dodenhof;3561739;5968734
Kaltenkirchen, Erich-Kästner-Schule;3563894;5967292
Kaltenkirchen, Erikaweg;3564401;5967588
Kaltenkirchen, Flottkamp (SZ);3563476;5967304
Kaltenkirchen, Friedenstraße;3563194;5968044
Kaltenkirchen, Friedhof;3562849;5967722
Kaltenkirchen, Friedhof (stillgelegt zum 11.12.2021);3562837;5967921
Kaltenkirchen, Funkenberg;3562555;5967151
Kaltenkirchen, Gottlieb-Daimler-Straße;3563855;5967324
Kaltenkirchen, Grashofstraße (Nord);3563469;5966625
Kaltenkirchen, GS Alter Landweg;3563955;5967138
Kaltenkirchen, GS Am Lakweg;3564292;5967977
Kaltenkirchen, GS Flottkamp;3563202;5966453
Kaltenkirchen, Heideweg;3561761;5966315
Kaltenkirchen, Kretelmoor/Bildungszentrum;3562823;5967012
Kaltenkirchen, Krückaupark;3562523;5966658
Kaltenkirchen, Lindrehm Nord;3561679;5966899
Kaltenkirchen, Luise-Otto-Weg;3563257;5968430
Kaltenkirchen, Marie-Curie-Straße;3563525;5966240
Kaltenkirchen, Markt;3563436;5967880
Kaltenkirchen, Maybachstraße;3563838;5965616
Kaltenkirchen, Moorredder;3563014;5966789
Kaltenkirchen, Nikolaus-Otto-Straße;3563573;5965974
Kaltenkirchen, Oersdorfer Weg;3564081;5967257
Kaltenkirchen, Ohland-Park;3564590;5966858
Kaltenkirchen, Ortelsburger Straße;3562015;5966491
Kaltenkirchen, Ortelsburger Straße 34;3561875;5966741
Kaltenkirchen, Ortelsburger Straße 54;3561809;5966557
Kaltenkirchen, Pommernring;3564078;5967567
Kaltenkirchen, Rathaus;3563359;5967817
Kaltenkirchen, Rathaus (alter Standort);3563346;5967629
Kaltenkirchen, Rudolf-Diesel-Straße;3564499;5966635
Kaltenkirchen Süd;3564147;5966264
Kaltenkirchen, Voßkamp;3562186;5966715
Kaltenkirchen, Wagnerstraße;3561804;5967285
Kaltenkirchen, Waldorfschule;3564171;5967364
Kaltenkirchen, Werner-von-Siemens-Straße;3564321;5965821
Kaltenkirchen, Wiesendamm;3563897;5967797
Kaltenkircher Platz;3562457;5937321
Kalvslohtwiete;3559174;5944701
Kamerstücken;3553808;5939236
Kamerunweg;3565464;5933295
Kamerunweg (Kehre);3565459;5933753
Kampen, Am Mühlenberg;3551867;5901437
Kampen bei Nützen;3561698;5969961
Kampen, Dorfstraße;3552447;5901877
Kampen, Esteweg;3553202;5901657
Kamperlien, Ort;3551370;5902408
Kamperrege, Neuer Weg;3540049;5945598
Kamperrege (Nord);3540721;5947293
Kamperrege, Siedlung;3540430;5946382
Kanalplatz;3565427;5926555
Kandinskyallee (Nord);3576383;5934109
Kankelau;3603962;5936483
Kantstraße;3569832;5938102
Kanzlershofer Weg;3568066;5924507
Kanzlerstraße;3566946;5923590
Kap-Horn-Weg;;
Kapstadtring;3567936;5942050
Karkenland;3579662;5921251
Karl-Arnold-Ring;3567573;5928750
Karl-Müller-Ring;3571444;5941833
Karl-Rüther-Stieg;3576623;5929297
Karlshöhe;3573580;5944153
Karlshöher Weg;3575338;5945068
Karnapp;3565364;5926234
Karoxbostel, Brücke;3567021;5918347
Karoxbostel, Karoxbosteler Chaussee;3567437;5918548
Karoxbostel, Ort;3567322;5918604
Karstenstraße;3553148;5937413
Karze, Am Rotdorn;3611722;5910603
Karze, An den Hauskoppeln;3611652;5910449
Karze, Auf dem Weel;3611276;5910065
Kasernenstraße (TU Hamburg);3564470;5926242
Kaskadenpark;3575051;5939491
Kasseburg, Achternholt;3594145;5937884
Kasseburg, Am Brink;3593855;5938220
Kastorf, Alte Schule;3603198;5958170
Kastorf, Christianshöhe;3602837;5957482
Kastorf, Im Park;3603613;5958621
Kastorf, Schulkoppel;3604224;5958259
Katemin, Bäckerweg;3625139;5901700
Katemin, Kurzer Weg;3625567;5901342
Katendeich;3579218;5927907
Katholische Bonifatiusschule;3565509;5930801
Kattendorf, Feuerwehr;3567443;5968557
Kattendorf, Winsener Straße;3567440;5968320
Kattendorferweeden;3568706;5968130
Kattensteert;3572950;5935934
Kattwykdamm;3564815;5929506
Katzbachstraße;3558613;5941442
Kayhude, Heidkrug;3574377;5958220
Kayhude, Naherfurth;3574258;5960248
Kayhude, Schulstraße;3574708;5959096
Kayhude, Segeberger Straße;3574566;5959069
Kedenburgstraße;3572118;5938724
Kehrsen, Grotn Felln;3619393;5940166
Kehrsen, Im Schlingen;3618351;5939788
Kehrsen, Schmiedeberg;3618469;5940833
Kehrwiederspitze;3565258;5935101
Keitumer Weg;3576297;5935065
Kellinghusen, Amtsverwaltung;3547333;5979895
Kellinghusen, Bergstraße;3547266;5980184
Kellinghusen, Breslauer Straße;3547284;5980857
Kellinghusen, Clausthal;3547916;5980402
Kellinghusen, Eichenallee;3548379;5980117
Kellinghusen, Gemeinschaftsschule;3547024;5980777
Kellinghusen, Grönhude;3545838;5978649
Kellinghusen, Grundschule;3547598;5980276
Kellinghusen, Kleiner Kamp;3547637;5978996
Kellinghusen, Kolberger Straße;3546882;5980735
Kellinghusen, Krimweg;3548416;5980803
Kellinghusen, Krützkamp;3547552;5981780
Kellinghusen, Lindenstraße (Mitte);3547309;5980571
Kellinghusen, Marienstraße;3547911;5979664
Kellinghusen, Mühlenbeker Straße;3548247;5979278
Kellinghusen, Mühlenweg;3548268;5978987
Kellinghusen, Neumühlener Weg (Mitte);3546528;5980628
Kellinghusen, Neumühlener Weg (Süd);3546524;5980281
Kellinghusen, Nordfriedhof;3547365;5981043
Kellinghusen, Preußerstraße;3547363;5980651
Kellinghusen, Veilchenweg;3546007;5980751
Kellinghusenstraße;3565695;5940161
Keltenweg;3563393;5946433
Ketzendorf, Hogenbarg;3550747;5924632
Ketzendorf, Ketzendorfer Grund;3550892;5923854
Kiebitzbrack;3582287;5920629
Kiebitzdeich (Mitte);3581597;5921092
Kiebitzdeich (West);3580843;5922175
Kiebitzdeich 154;3581967;5920955
Kiebitzreihe, Abzweigung Bullendorf;3539163;5960709
Kiebitzreihe, Hauptstraße;3540965;5961321
Kiebitzreihe, Heidkamp;3541054;5961374
Kiebitzreihe, Koppeldamm;3540068;5961310
Kiebitzreihe, Schule;3539777;5961135
Kiebitzreihe, Schule (Kehre);3539665;5960911
Kiebitzreihe, Weidendamm;3540415;5961409
Kiebitzreihe, Wiesengrund;3540756;5961125
Kiebitzreihe, Wischreihe 9;3538665;5960961
Kiekbusch, Hof;3601193;5993922
Kiekut;3584728;5947623
Kiel Hbf;3573713;6021092
Kielkoppelstraße;3577386;5940448
Kielmannseggstraße;3572432;5938517
Kienenhagen;3578968;5928685
Kienholt;3573142;5943885
Kinderkrankenhaus Wilhelmstift;3576961;5940384
Kirchdorf (Süd);3567707;5928586
Kirchdorfer Straße (Museum Elbinsel);3567707;5929307
Kirchenheerweg;3578950;5919832
Kirchgellersen, Grundschule;3586263;5901046
Kirchgellersen, Heiligenthaler Straße;3587018;5900441
Kirchgellersen, Im Dorfe;3586357;5900698
Kirchgellersen, Im Sande;3585446;5900561
Kirchgellersen, Im Wiesengrund;3587005;5900735
Kirchgellersen, Kirche;3586460;5900608
Kirchgellersen, Schützenstraße;3586140;5900571
Kirchhofsweg;3581102;5928710
Kirchlinden;3573119;5935030
Kirchsteinbek;3574950;5933744
Kirchwerder Hausdeich (Mitte);3579717;5922793
Kirchwerder Hausdeich (West);3578750;5923892
Kirchwerder Hausdeich 404;3580270;5921023
Kirchwerder Kirche;3579820;5921443
Kirchwerder Landweg 182;3578492;5924828
Kirchwerder Landweg 70;3579224;5925758
Kirchwerder Mühlendamm;3580557;5920748
Kirchwerder Schulweg;3575446;5922635
Kirschenallee;3571079;5944219
Kirschgarten;3579520;5930788
Kirschtenstraße;3553574;5937077
Kisdorf, Am Sportplatz;3566512;5964830
Kisdorf, An de Loh;3567232;5964837
Kisdorf, Bismarckplatz;3566525;5964970
Kisdorf, Grootredder;3566410;5964505
Kisdorf, Hüttbleker Weg;3568787;5965454
Kisdorf, Pommernstraße;3566176;5964632
Kisdorf, Rödieckskate;3566200;5966113
Kisdorf, Schmiedeberg;3566869;5964889
Kisdorf, Schule;3566704;5964556
Kisdorfer Mühle;3566275;5964345
Kisdorferwohld, Dierksbrann;3570183;5965681
Kisdorferwohld, Ellernbrook;3570444;5965720
Kisdorferwohld, Segeberger Straße;3571263;5965973
Kisdorferwohld, Wakendorfer Straße;3571257;5965826
Kittlitz, Birkenweg;3626624;5949864
Kittlitz, Dorfstraße;3626565;5949652
Kittlitz, Gut;3626391;5950400
Kiwittsmoor;3567210;5949807
Kiwittsmoor (Nord);3567587;5950259
Klärwerk Dradenau;3560713;5932265
Klauenburg, In den Büchen;3552998;5913129
Klaus-Schaumann-Straße;3579032;5927953
Klecken;3561904;5915309
Klecken, Am Teich;3562859;5915238
Klecken, Am Walde;3562436;5913498
Klecken, Eichenweg;3562533;5915696
Klecken, Grundschule;3562514;5915592
Klecken, Wachtelweg;3562080;5914522
Klein Aspe, Auf dem Hollen;3522890;5926270
Klein Aspe, Landstraße;3523198;5926437
Klein Barnitz, Abzweigung;3597566;5965310
Klein Barnitz, Ortsmitte;3597688;5965567
Klein Borstel;3568426;5944598
Klein Disnack, Am Bartelsbusch;3612823;5957439
Klein Disnack, Seeweg;3613116;5956979
Klein Flottbek (Botanischer Garten);3557166;5936659
Klein Gladebrügge, Hamann's Koppel;3586904;5977340
Klein Gladebrügge, Traventhaler Straße;3586654;5976790
Klein Hansdorf, Am Wischhof;3580148;5955026
Klein Hansdorf, Hansdorfer Redder;3580339;5955243
Klein Hollenbeck;3530519;5924351
Klein Klinkrade;3601641;5955567
Klein Nordende, Am Brahm;3542815;5953567
Klein Nordende, Am Park;3543205;5955410
Klein Nordende, Am Redder;3542770;5954898
Klein Nordende, Bauerweg;3543210;5954610
Klein Nordende, Heidgrabener Weg;3543430;5954472
Klein Nordende, Hofweg;3543306;5955110
Klein Nordende, Sandhöhe;3543787;5954861
Klein Nordende, Schulstraße;3543849;5955269
Klein Nordende, Voßbarg;3543677;5954624
Klein Offenseth, Austraße;3545740;5964004
Klein Offenseth, Schlottweg;3544982;5963382
Klein Pampau, Eichhörnchenweg;3604261;5932546
Klein Pampau, Grüner Weg;3604964;5932143
Klein Pampau, Massower Straße;3604329;5931954
Klein Pampau, Quellenweg;3604421;5931992
Klein Pampau, Wotersener Weg;3605353;5932385
Klein Reith 1;3524546;5921952
Klein Rönnau, Am Dorfplatz;3587071;5982368
Klein Rönnau, Plöner Eck;3586695;5981910
Klein Rönnau, Thunscher Weg;3586333;5981101
Klein Rönnau, Timmerbarg;3587281;5982324
Klein Sarau;3612525;5960916
Klein Schenkenberg;3602905;5963969
Klein Sommerbeck 15;3612370;5897957
Klein Talkau;3603763;5938757
Klein Todtshorn, Ort;3552396;5899517
Klein Wesenberg, Am Kirchberg;3601719;5965767
Klein Wesenberg, Hauptstraße 27;3602024;5965269
Klein Wesenberg, Heidberg;3600071;5964999
Klein Wesenberg, Heideweg;3602456;5965923
Klein Wesenberg, Sportplatz;3601947;5965590
Klein Wohlerst 3;3524868;5921741
Klein Zecher;3624123;5940090
Kleinboden;3595712;5959528
Kleine Marienstraße;3563282;5935955
Kleine Seilerstraße;3564219;5935944
Kleinkummerfeld, Alter Bahnhof;3569523;5988275
Kleinkummerfeld, Am Bahnhof;3569484;5988310
Kleinkummerfeld, Feldstraße;3570053;5989635
Kleinkummerfeld, Segeberger Chaussee;3569998;5989853
Klempau, Bienweg;3610470;5960703
Klempau, Birkenweg;3609310;5960126
Klempau, Bismarcksiedlung;3609996;5960698
Klempau, Drosselweg;3609570;5960358
Klempau, Klosterredder;3609817;5960595
Klempau, Siedlung;3611348;5961261
Klethen, Abzweig Klethen;3529761;5918165
Klethen, Abzweig Zevener Straße;3529713;5918163
Klethen, Auetal;3529246;5918217
Kleve, Achtern Barg;3526354;5982194
Kleve, Gutsweg;3527362;5981139
Kleve, Hauptstraße (Süd);3527235;5980966
Kleve, Rahde;3527603;5981941
Kleve, Voßbarg;3526629;5981706
Klevendeich;3540157;5948826
Klgv Rothenhauschaussee;3583427;5927616
Klinikum Nord (Heidberg);3568011;5949779
Klinikum Nord (Ochsenzoll);3566318;5949457
Klinikum Pinneberg;3553809;5947611
Klinkrade, Feuerwehrhaus;3602514;5954981
Klosterberg;3612397;5957984
Klosterstern;3565533;5939363
Klotzenmoor (Mitte);3565173;5942426
Klövensteenweg (Mitte);3550620;5940049
Klövensteenweg (Süd);3550686;5939277
Klütjenfelder Straße;3565110;5933196
Klütjenfelder Straße (Kehre);3564987;5933280
Knabeweg;3556792;5938174
Knappe Böge;3567280;5942814
Kneidenweg;3571234;5930445
Kneienblick;3557420;5933955
Knoopstraße/Bremer Straße;3565139;5925526
Koberg, Herrenstraße;3600833;5946218
Koberg, Im Wiesengrund;3600916;5945560
Koberg, Koppelkaten;3600995;5945276
Kogel;3620107;5946784
Kogel, Siedlung;3620479;5947919
Köhlbrandhöft (nur für Betriebsangehörige);3562161;5934682
Kohlenhausen, Masch;3526934;5918332
Köhlingen, Abzweig Köhlingen;3622948;5899519
Köhlingen, Abzweig Ventschau;3622943;5899492
Kohövedstraße;3575812;5942542
Kolkhagen, Kampweg;3592507;5892585
Kolkhagen, Wiesenweg;3592565;5892900
Kollmar, Bielenberg 18;3529094;5957336
