Name;Gauss-Krueger E;Gauss-Krueger N
Altenwerder Hauptstraße (Süd);3561072;5930110
Alter Bahnhof Kirchwerder;3579888;5922169
Alter Berner Weg;3574250;5946442
Alter Fährweg;3551680;5933649
Alter Fährweg (Kehre);3551617;5933661
Alter Teichweg;3570564;5939997
Alter Zollweg;3575342;5942438
Altes Estesperrwerk;3551486;5933850
Altes Rathaus Rahlstedt;3576796;5941836
Altfresenburg;3589737;5966675
Altona;3561998;5936017
Altona (Fischmarkt);3563194;5935139
Altonaer Poststraße;3562395;5935815
Altwiedenthaler Straße;3559044;5927755
Aluminiumwerk;3559074;5932176
Alvesen, Alveser Straße;3559454;5923328
Alvesen, Heinrich-Wendt-Weg;3558954;5923262
Alvesen, Im Alvesener Dorfe;3559169;5923168
Alveslohe;3560476;5962654
Alveslohe, Brunskamp;3559980;5964734
Alveslohe, Buschweg;3560456;5963718
Alveslohe, Denkmal;3560333;5962140
Alveslohe, Schäferei;3558612;5964977
Alveslohe, Schule;3560393;5962582
Am Altenwerder Kirchtal;3561217;5931006
Am Altenwerder Kirchtal (Süd);3561237;5930662
Am Baum;3581433;5929332
Am Bergedorfer Hafen;3580217;5929193
Am Born;3561308;5936277
Am Botterbarg;3555378;5938482
Am Callabrack;3567105;5928347
Am Dalmannkai;3566018;5934904
Am Damm;3572121;5945066
Am Dornberg;3573433;5941718
Am Elisabethgehölz;3570452;5936718
Am Frankenberg;3565566;5923196
Am Friedhof;3576479;5940593
Am Fuchsberg;3563051;5926377
Am Gehöckel;3569821;5945935
Am Genter Ufer;3559484;5931931
Am Gleisdreieck;3575009;5929922
Am Gnadenberg;3568560;5945696
Am Güterbahnhof;3579849;5928856
Am Hegen;3578241;5940391
Am Hehsel;3569921;5946721
Am Hirschpark;3554496;5936445
Am Hohen Feld;3573975;5938311
Am Hohen Hause (Rentenversicherung);3573556;5940678
Am Horner Moor;3572995;5936468
Am Husarendenkmal;3571491;5937576
Am Isfeld;3555776;5938128
Am Jenfelder Moor;3573847;5938919
Am Kaiserkai (Elbphilharmonie);3565406;5935033
Am Kroog;3575599;5942619
Am Langberg;3576874;5932229
Am Licentiatenberg;3565167;5942984
Am Lilienberg;3551426;5939497
Am Mühlenbach;3576615;5933898
Am Neumarkt 63;3572714;5938808
Am Ohlendorffturm;3577453;5941021
Am Papenbrack;3567046;5928973
Am Pavillon;3564458;5922954
Am Pfeilshof;3572717;5946044
Am Pulverhof;3575384;5940765
Am Pulverhof (Mitte);3575260;5940970
Am Radeland;3561536;5927088
Am Rosengarten;3554589;5933066
Am Sandtorkai;3565812;5935086
Am Schilfpark;3580046;5928250
Am Schleusengraben;3580164;5927990
Am Schulwald;3567995;5947023
Am Stadtrand;3572837;5940281
Am Stühm-Süd;3572839;5944611
Am Volkspark;3560222;5939727
Ameisweg;3578520;5927935
Amelinghausen, Bahnhof;3581445;5889416
Amelinghausen, Grundschule;3581763;5888812
